,0,1,2,3,4,5
48,106762455,2/15/15 0:00,12:31:44 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
49,106448273,2/2/15 0:00,6:34:05 PM,DOF,"""Property Tax Homeowner Tax Benefit Application - General""","""Information Provided"""
50,106297957,1/26/15 0:00,3:50:08 PM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
51,106754323,2/14/15 0:00,9:04:42 AM,NYPD,"""Traffic - Emergency Condition""","""Hot Transfer 911"""
52,106240814,1/24/15 0:00,11:20:14 AM,NYPD,"""Noise from Neighbor""","""CSMS SR"""
53,105854859,1/8/15 0:00,12:28:13 PM,3/1/01,"""Division Transfer""","""Internal Transfer"""
54,105768602,1/5/15 0:00,11:16:36 AM,DOF,"""Pay Property Tax - Online""","""Information Provided"""
55,106318763,1/27/15 0:00,2:27:22 AM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
56,106326753,1/29/15 0:00,1:48:51 AM,3/1/01,"""Division Transfer""","""Internal Transfer"""
57,106153569,1/21/15 0:00,7:39:47 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
58,106475082,2/3/15 0:00,6:09:29 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
59,106773063,2/15/15 0:00,9:18:34 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
60,105936516,1/12/15 0:00,1:46:42 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
61,106377206,1/29/15 0:00,10:20:33 AM,DOF,"""Pay a Parking Ticket - Online""","""Information Provided"""
62,106412878,1/31/15 0:00,1:32:18 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
63,105936258,1/12/15 0:00,1:57:56 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
64,106000430,1/14/15 0:00,7:30:29 AM,HPD,"""Residential Public Area Maintenance Complaint""","""Internal Transfer"""
65,106083388,1/18/15 0:00,3:16:03 PM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
66,106245133,1/25/15 0:00,4:04:34 PM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
67,106427905,2/1/15 0:00,11:03:43 PM,DSNY,"""Garbage Collection - Storm Delays""","""Alert Information Provided"""
68,106784858,2/16/15 0:00,12:18:46 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
69,105797629,1/6/15 0:00,12:21:01 PM,DOF,"""Red Light Camera Violation Lookup - Notice of Liability Number or Plate Number Known""","""Routed to Web Page"""
70,106217518,1/23/15 0:00,12:50:58 PM,DSNY,"""Recycling and Trash Collection Schedules""","""Routed to Web Page"""
71,106625771,2/9/15 0:00,10:16:02 AM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
72,105966279,1/13/15 0:00,11:33:14 AM,DOF,"""Property Tax Payment Plan Application""","""CSMS SR"""
73,106375589,1/29/15 0:00,8:46:41 PM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
74,106626394,2/9/15 0:00,10:37:28 AM,3/1/01,"""Service Request Status - General""","""Information Provided"""
75,105914945,1/11/15 0:00,4:22:04 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
76,105759185,1/5/15 0:00,10:39:26 AM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
77,106503453,2/4/15 0:00,3:11:58 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""CSMS SR"""
78,105744456,1/4/15 0:00,1:57:29 AM,NYPD,"""Find a Towed Vehicle - Accident, Filming, Street Event, or Construction""","""Routed to Web Page"""
79,106212425,1/23/15 0:00,1:09:32 PM,NYPD,"""Dangerous Location or Situation""","""Hot Transfer 911"""
80,105936979,1/12/15 0:00,9:43:19 AM,HPD,"""Apartment Maintenance Complaint""","""Routed to Web Page"""
81,106709843,2/12/15 0:00,6:45:56 PM,DSNY,"""Missed Garbage Collection""","""Information Provided"""
82,106757189,2/14/15 0:00,2:51:38 PM,3/1/01,"""Service Request Status - DEP Status Not Found""","""Transfer to City Agency"""
83,105937922,1/12/15 0:00,4:41:08 PM,DOF,"""Fight a Red Light Camera Violation - Appeal Hearing Decision""","""Information Provided"""
84,106660462,2/10/15 0:00,5:01:37 PM,DSNY,"""Special Waste Disposal Locations and Rules""","""Information Provided"""
85,105915638,1/11/15 0:00,7:05:46 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
86,105723374,1/2/15 0:00,9:37:59 AM,DOF,"""Red Light Camera Violation Lookup - Notice of Liability Number or Plate Number Known""","""Routed to Web Page"""
87,106717327,2/12/15 0:00,10:45:50 AM,DOF,"""General Corporation Tax""","""Transfer to City Agency"""
88,106161932,1/21/15 0:00,11:44:29 AM,DOF,"""Property Record Information""","""Information Provided"""
89,106482292,2/3/15 0:00,7:48:25 PM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
90,106611420,2/9/15 0:00,7:46:10 PM,HPD,"""Apartment Maintenance Complaint""","""Information Provided"""
91,106570968,2/6/15 0:00,5:14:19 PM,NYPD,"""Disabled Vehicle on a Highway""","""Hot Transfer 911"""
92,105968328,1/13/15 0:00,1:10:58 PM,DOF,"""Find a Towed Vehicle - Plate Number Known""","""Routed to Web Page"""
93,105733878,1/2/15 0:00,4:43:48 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""CSMS SR"""
94,106561147,2/6/15 0:00,1:13:13 PM,DOF,"""Property Tax Exemption Information""","""Information Provided"""
95,105798696,1/6/15 0:00,12:22:52 PM,HPD,"""Emergency Repair Program""","""Information Provided"""
96,106766526,2/15/15 0:00,3:46:18 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""CSMS SR"""
97,106713941,2/12/15 0:00,3:52:48 PM,DOF,"""Parking Ticket Payment Problem or Penalty Adjustment""","""Internal Transfer"""
98,105743871,1/3/15 0:00,2:01:53 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
99,106122938,1/20/15 0:00,3:17:16 PM,NYPD,"""NYPD General Information""","""Transfer to City Agency"""
100,105926816,1/12/15 0:00,1:02:22 PM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
101,106012110,1/15/15 0:00,3:51:50 PM,NYPD,"""NYPD General Information""","""Transfer to City Agency"""
102,106269014,1/26/15 0:00,7:31:49 AM,NYPD,"""Street Vendor - Unlicensed or Operating in Prohibited Area""","""CSMS SR"""
103,105882603,1/9/15 0:00,9:24:28 AM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
104,105719598,1/2/15 0:00,8:53:23 AM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
105,106742026,2/13/15 0:00,11:48:07 AM,DSNY,"""Syringes on Sidewalk or Street""","""Internal Transfer"""
106,106225774,1/23/15 0:00,1:54:44 PM,DSNY,"""Bulk Item Disposal Information""","""Information Provided"""
107,105942544,1/12/15 0:00,7:07:29 PM,DSNY,"""Christmas Tree Collection""","""Information Provided"""
108,105863253,1/8/15 0:00,3:04:43 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
109,106159506,1/21/15 0:00,8:45:07 PM,HPD,"""Pest Control Complaint in Apartment""","""Information Provided"""
110,106470901,2/3/15 0:00,8:50:32 AM,DSNY,"""Snow or Ice on Roadway - Replowing or Spreading Request""","""Universal Intake SR"""
111,106788046,2/16/15 0:00,8:04:56 AM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
112,106039154,1/16/15 0:00,1:37:23 PM,NYPD,"""Car Accident""","""Information Provided"""
113,105882103,1/9/15 0:00,11:11:13 AM,DOF,"""Property Tax Account Assistance and Bill Information""","""Internal Transfer"""
114,106603279,2/8/15 0:00,10:24:59 AM,DOF,"""Speed Camera Violation - Lookup Status - Notice of Liability Number or Plate Number Known""","""Routed to Web Page"""
115,106069824,1/18/15 0:00,12:26:58 AM,NYPD,"""Noise from Store or Business""","""CSMS SR"""
116,106480746,2/3/15 0:00,5:35:03 PM,DSNY,"""Snow or Ice on Roadway - Replowing or Spreading Request""","""Universal Intake SR"""
117,106102389,1/19/15 0:00,7:38:59 AM,NYPD,"""Hot Transfer 911""","""Hot Transfer 911"""
118,106683950,2/11/15 0:00,6:31:44 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""CSMS SR"""
119,106634263,2/9/15 0:00,10:35:45 AM,3/1/01,"""Division Transfer""","""Internal Transfer"""
120,105957198,1/13/15 0:00,10:32:25 AM,3/1/01,"""Documents Required to Apply for IDNYC""","""Internal Transfer"""
121,106229448,1/24/15 0:00,8:00:05 PM,HPD,"""Apartment Maintenance Complaint""","""Routed to Web Page"""
122,105796530,1/6/15 0:00,3:36:21 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
123,106277833,1/26/15 0:00,7:14:44 PM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
124,105912018,1/11/15 0:00,11:34:38 AM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
125,106483138,2/3/15 0:00,2:51:39 PM,3/1/01,"""Contact Information - Directory Assistance""","""Information Provided"""
126,105853634,1/8/15 0:00,2:47:15 PM,DOF,"""Property Lot Size Change Request""","""Information Provided"""
127,106120173,1/20/15 0:00,6:58:58 PM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
128,106074944,1/17/15 0:00,10:37:00 AM,HPD,"""Residential Public Area Maintenance Complaint""","""Routed to Web Page"""
129,106196015,1/22/15 0:00,5:48:31 PM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
130,106190725,1/22/15 0:00,8:01:56 PM,DSNY,"""Missed Christmas Tree Collection""","""Information Provided"""
131,106711628,2/12/15 0:00,8:49:38 PM,DSNY,"""Recycling Rules - Glass""","""Information Provided"""
132,106277547,1/26/15 0:00,2:05:52 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
133,106435836,2/1/15 0:00,1:31:30 PM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
134,106039132,1/16/15 0:00,5:50:44 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
135,106771097,2/15/15 0:00,1:53:04 PM,DOF,"""Manhattan Resident Parking Tax Exemption Information and Assistance""","""Information Provided"""
136,106512835,2/4/15 0:00,11:07:56 AM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
137,106539857,2/5/15 0:00,3:26:57 PM,DSNY,"""Bulk Item Disposal Information""","""Information Provided"""
138,106166276,1/21/15 0:00,3:05:42 PM,DSNY,"""Missed Christmas Tree Collection""","""Universal Intake SR"""
139,106241422,1/24/15 0:00,8:11:46 AM,DSNY,"""Missed Christmas Tree Collection""","""Universal Intake SR"""
140,105845477,1/8/15 0:00,9:30:51 AM,3/1/01,"""Division Transfer""","""Internal Transfer"""
141,106605196,2/8/15 0:00,7:50:58 PM,DSNY,"""Garbage Collection - Storm Delays""","""Alert Information Provided"""
142,106770684,2/15/15 0:00,3:39:40 AM,NYPD,"""Illegal Parking Complaint""","""CSMS SR"""
143,106695342,2/11/15 0:00,12:32:11 PM,DOF,"""SCRIE - Status Lookup""","""Information Provided"""
144,106540652,2/5/15 0:00,2:58:05 PM,DSNY,"""Snow or Ice - Sidewalk - Commercial or Residential""","""Universal Intake SR"""
145,106318656,1/27/15 0:00,7:43:30 AM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
146,106479705,2/3/15 0:00,8:33:31 AM,3/1/01,"""Contact Information - Directory Assistance""","""Information Provided"""
147,106769615,2/15/15 0:00,5:49:07 PM,3/1/01,"""Washington's Birthday Information""","""Alert Information Provided"""
148,105755406,1/4/15 0:00,9:07:54 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""CSMS SR"""
149,106184062,1/22/15 0:00,11:35:01 AM,DOF,"""Bail Refund""","""Transfer to City Agency"""
150,106195010,1/22/15 0:00,10:41:38 AM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Information Provided"""
151,106110852,1/19/15 0:00,9:34:30 AM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
152,105803307,1/6/15 0:00,7:36:47 PM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
153,106020309,1/15/15 0:00,4:27:09 PM,DOF,"""Property Tax Mailing Address Update""","""Information Provided"""
154,106573976,2/6/15 0:00,10:55:58 AM,DOF,"""Pay a Parking Ticket - In Person""","""Information Provided"""
155,105948926,1/13/15 0:00,10:25:43 AM,3/1/01,"""Division Transfer""","""Internal Transfer"""
156,105772500,1/5/15 0:00,1:02:59 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
157,106714074,2/12/15 0:00,11:36:29 AM,DOF,"""Property Tax Account Assistance and Bill Information""","""Information Provided"""
158,105963588,1/13/15 0:00,10:29:42 AM,3/1/01,"""Documents Required to Apply for IDNYC""","""Internal Transfer"""
159,106317177,1/27/15 0:00,1:10:01 PM,DOF,"""Borough-Block-Lot (BBL) Lookup""","""Routed to Web Page"""
160,106457180,2/2/15 0:00,2:56:27 PM,DSNY,"""Garbage Collection - Storm Delays""","""Alert Information Provided"""
161,106650668,2/10/15 0:00,9:30:16 AM,NYPD,"""Illegal Dumping - In Progress""","""Information Provided"""
162,106747727,2/13/15 0:00,4:59:29 AM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Information Provided"""
163,105746333,1/4/15 0:00,1:21:28 AM,NYPD,"""Noise from Club or Bar""","""CSMS SR"""
164,106220371,1/23/15 0:00,5:08:25 PM,DSNY,"""Recycling and Trash Collection Schedules""","""Information Provided"""
165,106346622,1/28/15 0:00,7:23:24 AM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
166,106194047,1/22/15 0:00,10:21:06 AM,NYPD,"""Vehicle Blocking Driveway Complaint""","""CSMS SR"""
167,106258486,1/26/15 0:00,9:36:24 AM,DOF,"""Parking Ticket Payment Problem or Penalty Adjustment""","""Internal Transfer"""
168,106427424,2/1/15 0:00,11:06:47 AM,DOF,"""Find a Towed Vehicle - Plate Number Known""","""Routed to Web Page"""
169,106388609,1/30/15 0:00,2:51:49 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
170,106528366,2/5/15 0:00,9:12:31 AM,3/1/01,"""Service Request Status - General""","""Routed to Web Page"""
171,106795492,2/16/15 0:00,1:05:16 PM,HPD,"""Apartment Maintenance Complaint""","""Information Provided"""
172,106078607,1/17/15 0:00,12:03:54 PM,DOF,"""Division Referral""","""Agency Closed"""
173,106033027,1/15/15 0:00,1:40:35 PM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
174,106172327,1/21/15 0:00,10:24:58 PM,DOF,"""Find a Towed Vehicle - Plate Number Unknown - NYPD""","""Routed to Web Page"""
175,106504168,2/4/15 0:00,10:43:08 AM,DOF,"""Property Tax Exemption Information""","""Information Provided"""
176,106690429,2/11/15 0:00,8:39:50 AM,3/1/01,"""Outside of 311 Jurisdiction""","""Out of 3-1-1 Jurisdiction"""
177,106443751,2/2/15 0:00,4:55:29 PM,DOF,"""SCRIE - Status Lookup""","""Information Provided"""
178,106177424,1/22/15 0:00,8:12:36 AM,NYPD,"""Arrested Person Location - Brooklyn""","""Transfer to City Agency"""
179,106338996,1/28/15 0:00,5:22:48 PM,3/1/01,"""Abortion""","""Facility Finder"""
180,106784149,2/16/15 0:00,8:31:35 AM,HPD,"""Water Complaint - Apartment""","""Routed to Web Page"""
181,106121663,1/20/15 0:00,5:13:35 PM,DOF,"""Find a Towed Vehicle - Plate Number Known""","""Routed to Web Page"""
182,106300270,1/27/15 0:00,8:49:26 AM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
183,106006659,1/14/15 0:00,3:45:57 PM,DOF,"""Parking Ticket Payment Problem or Penalty Adjustment""","""Information Provided"""
184,106598202,2/8/15 0:00,7:57:09 PM,HPD,"""Heat or Hot Water Complaint in Entire Residential Building""","""Routed to Web Page"""
185,105755662,1/4/15 0:00,11:35:33 AM,HPD,"""Apartment Maintenance Complaint""","""Internal Transfer"""
186,106143184,1/20/15 0:00,11:48:21 AM,DSNY,"""Special Waste Disposal Locations and Rules""","""Information Provided"""
187,106779878,2/16/15 0:00,12:36:51 PM,DOF,"""Pay a Parking Ticket - In Person""","""Information Provided"""
188,105991259,1/14/15 0:00,3:19:43 PM,NYPD,"""Dangerous Location or Situation""","""Hot Transfer 911"""
189,106091265,1/18/15 0:00,10:11:22 PM,3/1/01,"""Martin Luther King Jr. Day Information""","""Alert Information Provided"""
190,106747264,2/13/15 0:00,2:27:39 PM,DOF,"""Property Tax Homeowner Tax Benefit Application - General""","""Information Provided"""
191,106155570,1/21/15 0:00,3:51:50 PM,HPD,"""Pest Control Complaint in Apartment""","""Internal Transfer"""
192,106378699,1/29/15 0:00,4:00:17 PM,DOF,"""Agency Charge Collected by the Department of Finance""","""Internal Transfer"""
193,106764670,2/15/15 0:00,9:06:00 PM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
194,105910260,1/11/15 0:00,8:50:50 AM,NYPD,"""Criminal Mischief""","""Information Provided"""
195,106547822,2/5/15 0:00,10:13:08 PM,NYPD,"""Vehicle Blocking Driveway Complaint""","""CSMS SR"""
196,105791625,1/6/15 0:00,2:15:40 PM,NYPD,"""Blocked Sidewalk or Street - Basketball Hoop or Personal Property""","""CSMS SR"""
197,106771948,2/15/15 0:00,6:29:40 PM,3/1/01,"""Comment for the Mayor""","""Information Provided"""
198,106227844,1/23/15 0:00,2:01:40 PM,NYPD,"""Car Accident""","""Hot Transfer 911"""
199,106740010,2/13/15 0:00,6:49:46 AM,NYPD,"""Find a Police Precinct or PSA by Location""","""Information Provided"""
200,106664649,2/10/15 0:00,11:14:00 AM,NYPD,"""Division Transfer""","""Transfer to City Agency"""
201,105746683,1/3/15 0:00,7:37:39 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
202,106139007,1/20/15 0:00,11:48:53 AM,HPD,"""Residential Public Area Maintenance Complaint""","""Information Provided"""
203,106430386,2/1/15 0:00,4:13:12 AM,NYPD,"""Noise from Neighbor""","""CSMS SR"""
204,106011558,1/15/15 0:00,11:50:23 AM,3/1/01,"""IDNYC - Make an Appointment""","""Internal Transfer"""
205,105854018,1/8/15 0:00,2:55:30 PM,HPD,"""Apartment Maintenance Complaint""","""Internal Transfer"""
206,105904067,1/10/15 0:00,12:00:50 PM,HPD,"""Water Leak in Apartment""","""Information Provided"""
207,106431359,2/1/15 0:00,3:14:08 PM,3/1/01,"""City Worker or Agency Complaint or Compliment""","""Caller Hung Up"""
208,106708291,2/12/15 0:00,3:37:12 PM,DSNY,"""Litter Basket Request""","""Internal Transfer"""
209,105914748,1/11/15 0:00,9:53:09 PM,DSNY,"""Organics Collection Program""","""Information Provided"""
210,106069347,1/17/15 0:00,7:25:26 AM,3/1/01,"""Interpreting Parking or Traffic Sign or Regulation""","""Information Provided"""
211,105856031,1/8/15 0:00,3:29:05 PM,DOF,"""Parking Ticket Lookup - Ticket or Plate Number Known""","""Routed to Web Page"""
212,106391678,1/30/15 0:00,11:27:33 PM,NYPD,"""Noise from Vehicle""","""CSMS SR"""
213,106532058,2/5/15 0:00,2:37:48 PM,HPD,"""Division Information Provided""","""Information Provided"""
214,105954667,1/13/15 0:00,12:29:58 PM,DOF,"""DRIE - General Information""","""Information Provided"""
215,106729554,2/13/15 0:00,4:44:51 PM,3/1/01,"""311 Call Center""","""Information Provided"""
216,105812873,1/7/15 0:00,4:46:44 PM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
217,106398356,1/30/15 0:00,7:33:36 PM,DOF,"""Reclaim a Towed Vehicle - NYPD""","""Information Provided"""
218,105813704,1/7/15 0:00,3:27:01 PM,DOF,"""Property Tax Payment Problem""","""CSMS SR"""
219,106163788,1/21/15 0:00,7:38:52 PM,DSNY,"""Recycling and Trash Collection Schedules""","""Routed to Web Page"""
220,106074729,1/17/15 0:00,5:10:14 PM,NYPD,"""Illegal Eviction or Lockout""","""Information Provided"""
221,106344141,1/28/15 0:00,2:04:36 PM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
222,105857963,1/8/15 0:00,5:25:08 AM,DSNY,"""Electronic Disposal Information""","""Information Provided"""
223,106282728,1/26/15 0:00,9:09:41 AM,DSNY,"""CFC and Freon Removal - Appointment - Storm Delays""","""Information Provided"""
224,106319876,1/27/15 0:00,6:48:34 AM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
225,106671368,2/11/15 0:00,1:03:34 PM,DOF,"""Pay a Speed Camera Violation Online""","""Information Provided"""
226,106589323,2/7/15 0:00,7:19:34 AM,HPD,"""Heat or Hot Water Complaint in Apartment""","""Routed to Web Page"""
227,106445799,2/2/15 0:00,3:35:43 PM,3/1/01,"""Contact Information - Directory Assistance""","""Information Provided"""
228,106344168,1/28/15 0:00,8:10:09 PM,NYPD,"""Find a Towed Vehicle - Accident, Filming, Street Event, or Construction""","""Routed to Web Page"""
229,106732701,2/13/15 0:00,5:29:31 PM,HPD,"""HPD Section 8 - General Information""","""Information Provided"""
230,106582629,2/8/15 0:00,8:19:13 AM,DSNY,"""Loose Trash""","""Information Provided"""
231,106300180,1/27/15 0:00,2:03:32 PM,3/1/01,"""Alert Information Provided""","""Alert Information Provided"""
232,106373194,1/29/15 0:00,2:26:25 PM,DOF,"""NOPV - Annual Notice of Property Value Information""","""Information Provided"""
233,106243336,1/25/15 0:00,2:12:36 PM,HPD,"""Water Leak in Apartment""","""Routed to Web Page"""
234,105813588,1/7/15 0:00,3:15:47 PM,NYPD,"""Dangerous Location or Situation""","""Information Provided"""
